run_tag	val_bpb	artifact_bytes	time	train_peak_rss_bytes	status	description
2026-03-27_mlx_quick_b3_mlpproj_fp16_val32768_skipfloat	1.90610433	13737375	16:36.88	1447968768	keep	Keep only blocks.3.mlp.proj.weight in fp16 passthrough
2026-03-27_mlx_quick_b8_mlpfc_fp16_val32768_skipfloat	1.90714566	13764356	17:37.86	1534640128	keep	Keep only blocks.8.mlp.fc.weight in fp16 passthrough
2026-03-27_mlx_quick_tokemb_b8_mlpproj_fp16_val32768_skipfloat	1.93192924	13530023	17:29.23	1535639552	invalid	Keep tok_emb.weight and blocks.8.mlp.proj.weight in fp16 passthrough; confounded by unusually low train step count (1109)
2026-03-27_mlx_quick_int5_tiedemb_fp16_val32768_skipfloat	1.92848979	7645710	17:16.21	1534115840	keep	INT5 RTN for large tensors with the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int6_group64_tiedemb_fp16_val32768_skipfloat	1.90376429	10045417	16:32.89	1517289472	keep	INT6 with group-of-64 column scales for 2D weights plus the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int5_group64_tiedemb_fp16_val32768_skipfloat	1.90768788	7841202	16:36.97	1534001152	keep	INT5 with group-of-64 column scales for 2D weights plus the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int5_group32_tiedemb_fp16_val32768_skipfloat	1.91190363	7846539	16:37.15	1533853696	discard	INT5 with group-of-32 column scales for 2D weights plus the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int4_group64_tiedemb_fp16_val32768_skipfloat	1.95092453	5433965	16:47.72	1535787008	keep	INT4 with group-of-64 column scales for 2D weights plus the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int5_group64_headint8_val32768_skipfloat	1.90936325	7531829	16:37.49	1535377408	keep	INT5 with group-of-64 column scales for the model body and the tied embedding/output head quantized to INT8
2026-03-27_mlx_quick_int5_group64_headint6_val32768_skipfloat	1.91650882	7401522	16:36.26	1535754240	discard	INT5 with group-of-64 column scales for the model body and the tied embedding/output head quantized to INT6
2026-03-27_mlx_quick_int5_group64_affine_tiedemb_fp16_val32768_skipfloat	1.90382111	12275926	16:32.78	1535688704	discard	INT5 with affine group-of-64 quantization for 2D weights and the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int6_group64_headint8_val32768_skipfloat	1.90862195	9688622	16:37.70	1536196608	discard	INT6 with group-of-64 column scales for the model body and the tied embedding/output head quantized to INT8
2026-03-27_mlx_quick_int5_group128_tiedemb_fp16_val32768_skipfloat	1.90816833	7850498	16:34.39	1535606784	discard	INT5 with group-of-128 column scales for 2D weights plus the tied embedding/output head kept in fp16
2026-03-27_mlx_quick_int5_group64_actdiagclip_tiedemb_fp16_val32768_skipfloat	1.90983833	7877369	16:35.98	1535557632	discard	INT5 with group-of-64 column scales and fp16 tied head, but clip levels chosen by activation-diagonal-weighted calibration on a deterministic train-prefix
2026-03-28_mlx_quick_int5_group64_tiedemb_fp16_packbits_val32768_skipfloat	1.91937725	8586009	16:44.11	1535098880	discard	Lossless 5-bit storage for the INT5 group-of-64 body plus fp16 tied head; zlib artifact grew, and the run stopped earlier than the 1320-step reference
2026-03-28_mlx_quick_int5_group64_tiedemb_fp16_lzma_val32768_skipfloat	1.91055288	7203960	16:37.47	1535000576	maybe	LZMA-compressed serialization for INT5 group-of-64 plus fp16 tied head; artifact dropped strongly with a normal stop step, but this run's exact val_bpb lagged the zlib reference
2026-03-28_mlx_quick_int6_group64_tiedemb_fp16_lzma_val32768_skipfloat	1.91490181	8941844	16:54.78	1534902272	maybe	LZMA-compressed serialization for INT6 group-of-64 plus fp16 tied head; artifact dropped strongly, but this run stopped earlier than the 1321-step zlib reference
2026-03-28_mlx_quick_int5_group64_headint8_lzma_val32768_skipfloat	1.91239764	6955121	16:30.77	1535016960	maybe	LZMA-compressed serialization for INT5 group-of-64 with an INT8 tied head; artifact fell to about 6.96 MB with a normal 1329-step stop, but this rerun's exact val_bpb lagged the zlib head-int8 reference
2026-03-28_mlx_quick_int5_group64_top1roleint6_tiedemb_fp16_val32768_skipfloat	1.91639091	8227093	16:43.52	1534689280	discard	Automatic role-level mixed precision upgraded the top INT5-error role family (`mlp.proj.weight`) to INT6 across layers; artifact matched the expected mid-point, but the 1247-step rerun finished with a worse exact val_bpb than the simpler baselines
2026-03-28_mlx_quick_int6_group64_headint8_lzma_val32768_skipfloat	1.90446697	8911671	16:57.37	1535803392	keep	LZMA-compressed serialization for INT6 group-of-64 with an INT8 tied head; with a normal 1322-step stop it cut the artifact to about 8.91 MB and improved exact val_bpb over the zlib head-int8 reference
2026-03-28_mlx_quick_int6_group64_tiedemb_fp16_lzma_rerun_val32768_skipfloat	1.90404065	9136360	16:47.76	1535508480	keep	Clean rerun of LZMA-compressed serialization for INT6 group-of-64 plus fp16 tied head; with a normal 1314-step stop it preserved most of the strong INT6 quality while cutting the artifact to about 9.14 MB
2026-03-28_mlx_quick_int6_group64_tiedemb_fp16_lzma_awq_calib128_val32768_skipfloat	1.90248080	9792607	16:49.27	1536770048	keep	AWQ-style activation-aware column scaling on the INT6 group-of-64 body with fp16 tied head and lzma; 128 deterministic train-prefix calibration sequences
2026-03-28_mlx_quick_int6_group64_tiedemb_fp16_lzma_awq_calib256_val32768_skipfloat	1.90644446	9822335	16:52.66	1535459328	discard	AWQ-style activation-aware column scaling on the INT6 group-of-64 body with fp16 tied head and lzma; 256 deterministic train-prefix calibration sequences
2026-03-28_mlx_quick_int6_group64_headint8_lzma_awq_calib128_val32768_skipfloat	1.90613047	9536075	16:41.15	1536524288	discard	AWQ-style activation-aware column scaling on the INT6 group-of-64 body with INT8 tied head and lzma; tied head left on plain grouped INT8, 128 calibration sequences
2026-03-28_mlx_quick_int6_group64_headint8_lzma_awqhead_calib128_val32768_skipfloat	1.89650511	9525023	16:44.51	1536098304	keep	AWQ-style activation-aware column scaling on the INT6 group-of-64 body with INT8 tied head and lzma; includes AWQ scaling on the tied head using final hidden activations, 128 calibration sequences
2026-03-28_mlx_quick_int5_group64_tiedemb_fp16_lzma_awq_calib128_val32768_skipfloat	1.90306011	7871147	16:49.92	1535705088	keep	AWQ-style activation-aware column scaling on the INT5 group-of-64 body with fp16 tied head and lzma; 128 deterministic train-prefix calibration sequences
2026-03-28_mlx_quick_int5_group64_tiedemb_fp16_lzma_awq_calib256_val32768_skipfloat	1.90463478	7848875	16:55.89	1536638976	discard	AWQ-style activation-aware column scaling on the INT5 group-of-64 body with fp16 tied head and lzma; 256 deterministic train-prefix calibration sequences
2026-03-28_mlx_quick_int5_group64_headint8_lzma_awq_calib128_val32768_skipfloat	1.91075957	7547091	16:55.77	1536294912	discard	AWQ-style activation-aware column scaling on the INT5 group-of-64 body with INT8 tied head and lzma; tied head left on plain grouped INT8, 128 calibration sequences
2026-03-28_mlx_quick_int5_group64_headint8_lzma_awqhead_calib128_val32768_skipfloat	1.91163164	7544123	16:56.82	1536786432	discard	AWQ-style activation-aware column scaling on the INT5 group-of-64 body with INT8 tied head and lzma; includes AWQ scaling on the tied head using final hidden activations, 128 calibration sequences
2026-03-29_mlx_quick_int6_group64_headint8_lzma_awqheadonly_calib128_val32768_skipfloat	1.89921697	8862485	16:50.91	1535393792	keep	Head-only AWQ on the INT6 group-of-64 body with INT8 tied head and lzma; only the tied embedding/output head receives activation-aware scaling, calibrated on 128 deterministic train-prefix sequences
2026-03-29_mlx_quick_int5_group64_headint8_lzma_awqheadonly_calib128_val32768_skipfloat	1.90999629	6940133	16:42.69	1536540672	keep	Head-only AWQ on the INT5 group-of-64 body with INT8 tied head and lzma; only the tied embedding/output head receives activation-aware scaling, calibrated on 128 deterministic train-prefix sequences
2026-03-29_mlx_quick_int4_group64_tiedemb_fp16_lzma_val32768_skipfloat	1.94251809	4997929	16:38.88	1535770624	keep	Plain INT4 group-of-64 quantization with fp16 tied head and lzma serialization for a clean low-bit codec baseline
2026-03-29_mlx_quick_int4_group64_tiedemb_fp16_lzma_awq_calib128_val32768_skipfloat	1.92763699	5888613	16:43.54	1535934464	keep	AWQ-style activation-aware column scaling on the INT4 group-of-64 body with fp16 tied head and lzma; 128 deterministic train-prefix calibration sequences
2026-03-29_mlx_quick_int4_group64_tiedemb_fp16_lzma_awq_calib256_val32768_skipfloat	1.92713597	5901309	16:46.18	1536196608	keep	AWQ-style activation-aware column scaling on the INT4 group-of-64 body with fp16 tied head and lzma; 256 deterministic train-prefix calibration sequences
2026-03-29_mlx_quick_int4_group64_headint8_lzma_val32768_skipfloat	1.94109118	4736241	16:38.23	1535754240	keep	Plain INT4 group-of-64 quantization with an INT8 tied head and lzma serialization for a clean low-bit head-quantized baseline
2026-03-29_mlx_quick_int4_group64_headint8_lzma_awqheadonly_calib128_val32768_skipfloat	1.94645979	4717397	16:46.79	1536000000	discard	Head-only AWQ on the INT4 group-of-64 body with INT8 tied head and lzma; only the tied embedding/output head receives activation-aware scaling, calibrated on 128 deterministic train-prefix sequences
2026-03-30_mlx_quick_int6_group64_headint7_lzma_val32768_skipfloat	1.90383884	8836813	16:43.72	1536081920	keep	INT6 group-of-64 body with an INT7 tied head and lzma serialization; plain grouped quantization without AWQ
2026-03-30_mlx_quick_int6_group64_headint7_lzma_awqheadonly_calib128_val32768_skipfloat	1.90518759	8820525	16:51.38	1535524864	discard	INT6 group-of-64 body with an INT7 tied head and lzma serialization; head-only AWQ on the tied embedding/output head with 128 deterministic train-prefix calibration sequences
2026-03-30_mlx_quick_int6_group64_headint6_lzma_val32768_skipfloat	1.90965122	8755057	16:44.18	1536540672	discard	INT6 group-of-64 body with an INT6 tied head and lzma serialization; plain grouped quantization without AWQ
2026-03-30_mlx_quick_int6_group64_headint6_lzma_awqheadonly_calib128_val32768_skipfloat	1.90536722	8743545	16:49.98	1536131072	maybe	INT6 group-of-64 body with an INT6 tied head and lzma serialization; head-only AWQ on the tied embedding/output head with 128 deterministic train-prefix calibration sequences
2026-03-30_mlx_quick_int5_group64_headint7_lzma_val32768_skipfloat	1.91623056	6773413	16:49.95	1535868928	discard	INT5 group-of-64 body with an INT7 tied head and lzma serialization; plain grouped quantization without AWQ
2026-03-30_mlx_quick_int5_group64_headint7_lzma_awqheadonly_calib128_val32768_skipfloat	1.91325913	6736385	16:53.07	1535737856	maybe	INT5 group-of-64 body with an INT7 tied head and lzma serialization; head-only AWQ on the tied embedding/output head with 128 deterministic train-prefix calibration sequences
2026-03-30_mlx_quick_int5_group64_headint6_lzma_val32768_skipfloat	1.91860802	6663533	16:41.77	1535639552	discard	INT5 group-of-64 body with an INT6 tied head and lzma serialization; plain grouped quantization without AWQ
2026-03-30_mlx_quick_int5_group64_headint6_lzma_awqheadonly_calib128_val32768_skipfloat	1.90805578	6750137	16:45.49	1534820352	keep	INT5 group-of-64 body with an INT6 tied head and lzma serialization; head-only AWQ on the tied embedding/output head with 128 deterministic train-prefix calibration sequences
2026-03-30_mlx_quick_int6_group64_tiedemb_fp16_lzma_gptqlite_calib128_val32768_skipfloat	1.90385399	9162008	16:53.88	1540489216	discard	GPTQ-lite with block-diagonal group-of-64 Hessian calibration on the INT6 grouped body plus fp16 tied head; lzma serialization with 128 deterministic calibration sequences
2026-03-30_mlx_quick_int6_group64_headint8_lzma_gptqlite_calib128_val32768_skipfloat	1.90421939	8936774	16:42.99	1542144000	discard	GPTQ-lite with block-diagonal group-of-64 Hessian calibration on the INT6 grouped body and INT8 tied head; lzma serialization with 128 deterministic calibration sequences
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_gptqlite_calib128_val32768_skipfloat	1.90822276	7321278	16:42.95	1541488640	maybe	GPTQ-lite with block-diagonal group-of-64 Hessian calibration on the INT5 grouped body plus fp16 tied head; lzma serialization with 128 deterministic calibration sequences
2026-03-30_mlx_quick_int5_group64_headint8_lzma_gptqlite_calib128_val32768_skipfloat	1.91094056	7057930	16:42.88	1541144576	discard	GPTQ-lite with block-diagonal group-of-64 Hessian calibration on the INT5 grouped body and INT8 tied head; lzma serialization with 128 deterministic calibration sequences
2026-03-30_mlx_quick_int6_group64_tiedemb_fp16_lzma_rht_val32768_skipfloat	1.89738264	9399930	16:43.44	1540702208	keep	Randomized-Hadamard input-column rotation fused into weight-only INT6 grouped RTN quantization with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int6_group64_headint8_lzma_rht_val32768_skipfloat	1.90630156	9091734	16:42.56	1540096000	discard	Randomized-Hadamard input-column rotation fused into weight-only INT6 grouped RTN quantization with an INT8 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_val32768_skipfloat	1.91311301	7324402	16:40.56	1539866624	discard	Randomized-Hadamard input-column rotation fused into weight-only INT5 grouped RTN quantization with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_headint8_lzma_rht_val32768_skipfloat	1.91598066	6996350	16:44.48	1539997696	discard	Randomized-Hadamard input-column rotation fused into weight-only INT5 grouped RTN quantization with an INT8 tied head and lzma serialization
2026-03-30_mlx_quick_int6_group64_tiedemb_fp16_lzma_rht_normalq_val32768_skipfloat	1.90064065	11079622	16:40.89	1540030464	discard	TurboQuant-style weight-only proxy: randomized-Hadamard rotation plus normal-quantile non-uniform scalar quantization on the INT6 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_normalq_val32768_skipfloat	1.90721665	8858046	16:40.91	1540587520	discard	TurboQuant-style weight-only proxy: randomized-Hadamard rotation plus normal-quantile non-uniform scalar quantization on the INT5 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int6_group64_tiedemb_fp16_lzma_rht_gptqlite_calib128_val32768_skipfloat	1.90863337	9362413	16:52.14	1540390912	discard	Depth follow-up on the strongest new family: randomized-Hadamard rotation plus GPTQ-lite block-diagonal calibration on the INT6 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int6_group64_headint8_lzma_rht_gptqlite_calib128_val32768_skipfloat	1.90738722	8999717	16:47.08	1541406720	discard	Randomized-Hadamard rotation plus GPTQ-lite block-diagonal calibration on the INT6 grouped body with an INT8 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_gptqlite_calib128_val32768_skipfloat	1.91338360	7426285	16:43.90	1542012928	discard	Randomized-Hadamard rotation plus GPTQ-lite block-diagonal calibration on the INT5 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_headint8_lzma_rht_gptqlite_calib128_val32768_skipfloat	1.92193947	7123193	16:43.94	1540096000	discard	Randomized-Hadamard rotation plus GPTQ-lite block-diagonal calibration on the INT5 grouped body with an INT8 tied head and lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_sparseresid001_val32768_skipfloat	1.91337955	7244789	16:37.52	1540587520	discard	Sparse residual correction family: after INT5 grouped RTN plus fp16 tied head, keep the top 0.1% post-quantization residual weights as fp16 sparse corrections before lzma serialization
2026-03-30_mlx_quick_int5_group64_headint8_lzma_sparseresid001_val32768_skipfloat	1.90897303	6986041	16:37.26	1540718592	maybe	Sparse residual correction on the INT5 grouped body with an INT8 tied head; keep the top 0.1% post-quantization residual weights as fp16 sparse corrections before lzma serialization
2026-03-30_mlx_quick_int4_group64_tiedemb_fp16_lzma_sparseresid002_val32768_skipfloat	1.94823984	5006721	16:42.84	1541095424	discard	Sparse residual correction on the INT4 grouped body with fp16 tied head; keep the top 0.2% post-quantization residual weights as fp16 sparse corrections before lzma serialization
2026-03-30_mlx_quick_int4_group64_headint8_lzma_sparseresid002_val32768_skipfloat	1.94964583	4767997	16:56.49	1541963776	discard	Sparse residual correction on the INT4 grouped body with an INT8 tied head; keep the top 0.2% post-quantization residual weights as fp16 sparse corrections before lzma serialization
2026-03-30_mlx_quick_int4_group64_tiedemb_fp16_lzma_lowrankr1_val32768_skipfloat	1.94780720	5075804	16:43.41	1542602752	discard	Rank-1 low-rank residual correction on the INT4 grouped body with fp16 tied head; plain residual SVD without activation shaping before lzma serialization
2026-03-30_mlx_quick_int4_group64_headint8_lzma_lowrankr1_val32768_skipfloat	1.94988679	4838956	16:43.17	1541292032	discard	Rank-1 low-rank residual correction on the INT4 grouped body with an INT8 tied head; plain residual SVD without activation shaping before lzma serialization
2026-03-30_mlx_quick_int4_group64_tiedemb_fp16_lzma_lowrankr1_actscale_calib128_val32768_skipfloat	1.94579478	5091432	16:47.56	1541931008	discard	Rank-1 activation-shaped low-rank residual correction on the INT4 grouped body with fp16 tied head; deterministic 128-sequence activation calibration before lzma serialization
2026-03-30_mlx_quick_int4_group64_headint8_lzma_lowrankr1_actscale_calib128_val32768_skipfloat	1.94930391	4797480	17:02.24	1541685248	discard	Rank-1 activation-shaped low-rank residual correction on the INT4 grouped body with an INT8 tied head; deterministic 128-sequence activation calibration before lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_lowrankr1_val32768_skipfloat	1.90809321	7300404	16:46.17	1542209536	maybe	Rank-1 low-rank residual correction on the INT5 grouped body with fp16 tied head; plain residual SVD without activation shaping before lzma serialization
2026-03-30_mlx_quick_int5_group64_headint8_lzma_lowrankr1_val32768_skipfloat	1.90952976	7069632	16:45.76	1542586368	discard	Rank-1 low-rank residual correction on the INT5 grouped body with an INT8 tied head; plain residual SVD without activation shaping before lzma serialization
2026-03-30_mlx_quick_int5_group64_tiedemb_fp16_lzma_lowrankr1_actscale_calib128_val32768_skipfloat	1.90879706	7337040	16:50.42	1541914624	discard	Rank-1 activation-shaped low-rank residual correction on the INT5 grouped body with fp16 tied head; deterministic 128-sequence activation calibration before lzma serialization
2026-03-30_mlx_quick_int5_group64_headint8_lzma_lowrankr1_actscale_calib128_val32768_skipfloat	1.91096857	7071740	16:43.73	1542324224	discard	Rank-1 activation-shaped low-rank residual correction on the INT5 grouped body with an INT8 tied head; deterministic 128-sequence activation calibration before lzma serialization
2026-03-30_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_val32768_skipfloat	1.91926966	6453082	16:39.47	1542193152	keep	NF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int4_group64_headint8_lzma_nf4_val32768_skipfloat	1.96536392	5968554	16:39.27	1540882432	discard	NF4-style scalar codebook on the INT4 grouped body with an INT8 tied head and lzma serialization
2026-03-30_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_val32768_skipfloat	1.91585948	6567758	16:40.15	1541603328	keep	Randomized-Hadamard rotation plus NF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-03-30_mlx_quick_int4_group64_headint8_lzma_rht_nf4_val32768_skipfloat	1.97450040	6091642	16:39.59	1541373952	discard	Randomized-Hadamard rotation plus NF4-style scalar codebook on the INT4 grouped body with an INT8 tied head and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_awq_calib128_val32768_skipfloat	1.91518198	7114334	16:53.95	1542029312	keep	AWQ plus NF4 on the INT4 grouped body with fp16 tied head; 128 deterministic calibration sequences and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_awq_calib128_val32768_skipfloat	1.94967335	7242222	16:56.19	1543159808	discard	Randomized-Hadamard rotation plus AWQ plus NF4 on the INT4 grouped body with fp16 tied head; 128 deterministic calibration sequences and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_sparseresid001_val32768_skipfloat	1.91833416	6414214	16:49.09	1542586368	keep	Sparse residual correction on top of NF4 for the INT4 grouped body with fp16 tied head; keep the top 0.1% residual weights before lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_sparseresid001_val32768_skipfloat	1.91745501	6593014	16:48.35	1542897664	discard	Randomized-Hadamard rotation plus sparse residual correction on top of NF4 for the INT4 grouped body with fp16 tied head; keep the top 0.1% residual weights before lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_lowrankr1_val32768_skipfloat	1.91891057	6508318	16:40.18	1542144000	discard	Rank-1 low-rank residual correction on top of NF4 for the INT4 grouped body with fp16 tied head before lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_lowrankr1_val32768_skipfloat	1.92091147	6629686	16:42.93	1540554752	discard	Randomized-Hadamard rotation plus rank-1 low-rank residual correction on top of NF4 for the INT4 grouped body with fp16 tied head before lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_fp4_val32768_skipfloat	1.95110242	6563991	16:57.55	1540833280	discard	FP4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_fp4_val32768_skipfloat	1.95381690	6556999	16:42.40	1541931008	discard	Randomized-Hadamard rotation plus FP4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_af4_val32768_skipfloat	1.91626946	7053839	16:39.56	1541668864	discard	AF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_af4_val32768_skipfloat	1.91166653	7065611	16:40.16	1542078464	keep	Randomized-Hadamard rotation plus AF4-style scalar codebook on the INT4 grouped body with fp16 tied head and lzma serialization
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_signroundlite_calib128_val32768_skipfloat	1.94582243	4965347	16:47.08	1540816896	keep	SignRound-inspired per-group reconstruction search on uniform INT4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_signroundlite_calib128_val32768_skipfloat	1.94992398	5118327	16:50.73	1542995968	discard	SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated uniform INT4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_signroundlite_calib128_val32768_skipfloat	1.91132505	7186879	16:47.78	1543208960	maybe	SignRound-inspired per-group reconstruction search on uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_rht_signroundlite_calib128_val32768_skipfloat	1.90693169	7344331	16:53.47	1542832128	keep	SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_signroundlite_calib128_val32768_skipfloat	1.91733550	6365991	16:49.95	1543651328	keep	SignRound-inspired per-group reconstruction search on NF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_nf4_signroundlite_calib128_val32768_skipfloat	1.91957215	6494743	16:54.37	1543143424	discard	SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated NF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_signroundlite_awq_calib128_val32768_skipfloat	1.94038920	5774051	17:02.16	1542914048	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus AWQ on uniform INT4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_nf4_signroundlite_awq_calib128_val32768_skipfloat	1.91179029	7105731	16:55.13	1543241728	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus AWQ on NF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_af4_signroundlite_calib128_val32768_skipfloat	1.91629980	7011839	16:45.22	1542881280	review	Depth follow-up: SignRound-inspired per-group reconstruction search on AF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int4_group64_tiedemb_fp16_lzma_rht_af4_signroundlite_calib128_val32768_skipfloat	1.91070634	7038923	16:47.91	1542406144	review	Depth follow-up: SignRound-inspired per-group reconstruction search on randomized-Hadamard rotated AF4 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
2026-04-02_mlx_quick_int5_group64_tiedemb_fp16_lzma_signroundlite_awq_calib128_val32768_skipfloat	1.90723699	7878027	16:46.12	1542651904	review	Depth follow-up: SignRound-inspired per-group reconstruction search plus AWQ on uniform INT5 group-of-64 quantization with fp16 tied head and lzma serialization; 128 deterministic calibration sequences
